OBJECTID,Water System ID,sabl_pwsid,Boundary Type,System Name,SAFER Status,CVA Drought Risk,Funding Since 2017,County,Regulating Agency,Water Quality Risk Level,Accessibility Risk Level,Affordability Risk Level,TMF Capacity Risk Level,latitude,longitude,Service Connections,Population,Shape__Area,Shape__Length,Last Updated
11,CA1900145,CA1900145,Water Service Area,REESEDALE MUTUAL,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.14,High,Medium,34.692007,-117.976367,23,76,1021637.824,5467.663825,11/14/2025
12,CA1900146,CA1900146,Water Service Area,SUNNYSIDE FARMS MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0,None,None,34.627316,-118.196434,160,436,2848121.758,7887.276913,11/14/2025
13,CA1900154,CA1900154,Water Service Area,TIERRA BONITA MUTUAL WATER,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0.23,High,Low,34.669752,-118.03658,32,75,478586.9141,2953.960984,11/14/2025
14,CA1900155,CA1900155,Water Service Area,WILSONA GARDENS MUTUAL,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,High,Low,34.667797,-117.825241,44,129,990014.9648,4974.496388,11/14/2025
15,CA1900158,CA1900158,Water Service Area,LITTLE BALDY WATER,At-Risk,High,1999999,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.09,High,High,34.471774,-117.757675,36,55,7990477.742,23425.94234,11/14/2025
16,CA1900301,CA1900301,Water Service Area,SHADOW ACRES MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,Low,34.610929,-118.174467,165,450,2966468.023,6970.978613,11/14/2025
17,CA1900303,CA1900303,Water Service Area,LLANO MUTUAL WATER COMPANY,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.32,High,Low,34.499536,-117.818238,83,245,21826340.29,19257.81662,11/14/2025
18,CA1900520,CA1900520,Water Service Area,THE VILLAGE MOBILE HOME PARK,Failing,High,1215700,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0.51,Low,Medium,34.734002,-118.134937,34,71,25197.83594,641.5375283,11/14/2025
19,CA1900523,CA1900523,Water Service Area,WHITE FENCE FARMS MWC NO.3,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,None,High,34.631063,-118.17467,249,749,11862953.3,19815.1803,11/14/2025
20,CA1900529,CA1900529,Water Service Area,CAMP WILLIAMS-RESORT WATER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.25,Low,Low,34.232256,-117.791229,69,80,117453.6406,1470.550305,11/14/2025
21,CA1900537,CA1900537,Water Service Area,OAK GROVE MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.34,None,Low,34.511219,-118.358617,31,109,26072.43359,639.9239529,11/14/2025
22,CA1900541,CA1900541,Water Service Area,WESTERN SKIES MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0.28,High,None,34.705345,-118.073303,61,198,44473.94141,845.7672873,11/14/2025
23,CA1900542,CA1900542,Water Service Area,"LOS ANGELES, CITY OF - POWER PLANT #2",At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.44,Low,Low,34.592318,-118.449098,17,44,560384.0313,3204.752776,11/14/2025
24,CA1900555,CA1900555,Water Service Area,"LOS ANGELES, CITY OF - POWER PLANT #1",At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.44,Low,Low,34.587245,-118.45232,19,29,598642.6055,4536.049129,11/14/2025
25,CA1900563,CA1900563,Water Service Area,"SUNDALE MUTUAL WATER COMPANY A, B",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0.5,Low,None,34.812808,-118.259675,322,1050,12504243.3,19605.30528,11/14/2025
26,CA1900599,CA1900599,Water Service Area,VALHALLA WATER ASSOCIATION,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.75,None,Low,34.288679,-118.230659,9,25,159175.7227,5307.640677,11/14/2025
27,CA1900616,CA1900616,Water Service Area,THE RIVER COMMUNITY,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.6,Low,Low,34.23296,-117.798045,1,35,50490.34375,1191.503707,11/14/2025
28,CA1900636,CA1900636,Water Service Area,EL RANCHO MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0.38,High,Low,34.685096,-118.093172,76,215,74098.96875,1093.928473,11/14/2025
29,CA1900649,CA1900649,Water Service Area,GOLDEN SANDS MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0.37,Medium,Low,34.706116,-118.093173,152,450,59393.64063,1191.106887,11/14/2025
30,CA1900693,CA1900693,Water Service Area,DESERT PALMS MOBILE HOME PARK,At-Risk,High,328726,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.33,High,Low,33.766724,-116.975656,56,140,44214.65234,966.5753468,11/14/2025
31,CA1900707,CA1900556,,ILEAD AGUA DULCE CHARTER SCHOOL,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.47,None,None,34.487706,-118.332528,1,450,66579.35156,1060.255924,11/14/2025
32,CA1900717,CA1900717,Water Service Area,CASA DULCE ESTATES,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low,0.84,None,None,34.493407,-118.311381,17,24,28377.83594,724.4655609,11/14/2025
33,CA1900721,CA1900721,Water Service Area,TERRA NOVA MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0.32,Medium,Low,34.70605,-118.101028,75,140,56368.97656,1168.663742,11/14/2025
34,CA1900750,CA1910070,,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0.7,Low,None,34.71941,-118.292499,2,825,374051504.2,522107.4433,11/14/2025
35,CA1900751,CA1910070,,EASTSIDE UNION SCHOOL DISTRICT,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.88,Low,None,34.718249,-118.00695,36,650,374051504.2,522107.4433,11/14/2025
36,CA1900767,CA1900767,Water Service Area,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.5,High,Low,34.794339,-118.829748,22,70,50346228,44688.25333,11/14/2025
37,CA1900785,CA1900785,Water Service Area,MITCHELL'S AVENUE E MOBILE HOME PARK,Failing,High,1588390,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0.38,High,Low,34.763347,-118.144817,24,24,36645.41797,769.0198218,11/14/2025
38,CA1900794,CA1900794,Water Service Area,ANTELOPE PARK MUTUAL WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0.08,High,Low,34.671307,-118.162338,146,445,446254.8555,2846.640928,11/14/2025
39,CA1900801,CA1900801,Water Service Area,COLORADO MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.25,Low,Low,34.681007,-117.97412,13,39,487053.8281,2963.926224,11/14/2025
40,CA1900803,CA1900803,Water Service Area,EL DORADO MUTUAL WATER CO.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Low,None,34.623802,-118.156634,240,660,3914900.965,7911.681931,11/14/2025
41,CA1900804,CA1900804,Water Service Area,EVERGREEN MUTUAL WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.88,Low,None,34.69904,-118.050235,47,98,727431.418,3948.527967,11/14/2025
42,CA1900808,CA1900808,Water Service Area,LANCASTER WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0.06,High,Low,34.694934,-118.164679,22,80,118968.5586,1453.386614,11/14/2025
43,CA1900809,CA1900809,Water Service Area,LANDALE MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Medium,None,34.653344,-118.120584,187,550,3633631.668,7649.438048,11/14/2025
44,CA1900817,CA1900817,Water Service Area,CLEAR SKIES MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0.32,Medium,Low,34.701431,-118.105424,47,131,30926.17188,746.5701854,11/14/2025
45,CA1900843,CA1900843,Water Service Area,CALIFORNIAN MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0.3,Medium,Medium,34.702415,-118.084745,133,372,110802.0664,1415.474007,11/14/2025
46,CA1900849,CA1900849,Water Service Area,LLANO DEL RIO WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.2,Medium,Low,34.469628,-117.849705,191,545,6592058.277,14165.52438,11/14/2025
47,CA1900868,CA1900868,Water Service Area,RIVERS END TRAILER PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.6,Low,Medium,34.433686,-118.363763,45,35,25159.94531,769.7111865,11/14/2025
48,CA1900886,CA1900074,,HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,1,None,None,34.672663,-118.424973,2,550,1055562.84,4313.267312,11/14/2025
49,CA1900901,CA1900901,Water Service Area,FIRE SUPPRESSION CAMP #19,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.2,Low,Medium,34.237832,-117.822949,1,125,54009.70703,987.3370548,11/14/2025
50,CA1900903,CA1900903,Water Service Area,SLEEPY VALLEY WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0.1,High,None,34.50947,-118.366272,57,160,275361.3047,2395.262569,11/14/2025
51,CA1900907,CA1900907,Water Service Area,SHERWOOD MOBILE HOME PARK,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0.15,Medium,None,34.706659,-118.061639,185,540,132125.3984,1707.39412,11/14/2025
52,CA1900913,CA1900913,Water Service Area,LILY OF THE VALLEY MOBILE VILLAGE,Not At-Risk,Low,2742601,LOS ANGELES,DISTRICT 22 - ANGELES,None,1,None,None,34.465233,-118.481954,182,657,126175.6328,1449.5977,11/14/2025
53,CA1900936,CA1900936,Water Service Area,AQUA J. MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.57,Low,Low,34.693887,-117.96531,49,158,978817.8516,3959.23884,11/14/2025
54,CA1900942,CA1900942,Water Service Area,ALPINE SPRINGS MOBILE HOME PARK,Failing,High,128125,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0.77,None,Low,34.539286,-118.106924,53,175,23723.85547,640.5590619,11/14/2025
55,CA1900961,CA1900961,Water Service Area,WINTERHAVEN MOBILE ESTATES,Failing,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.44,Low,Medium,34.773909,-118.457227,20,56,20910.48828,606.217594,11/14/2025
56,CA1900975,CA1900975,Water Service Area,CALI LAKE RV RESORT,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0.5,None,Medium,34.437263,-118.320596,47,99,69776.58984,1276.89839,11/14/2025
57,CA1907014,CA1907014,Water Service Area,NORTH TRAILS MUTUAL WATER COMPANY,Failing,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.33,None,None,34.49924,-118.33855,49,100,724802.7031,3445.31783,11/14/2025
58,CA1907028,CA1907028,Water Service Area,SPV WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low,0.5,High,None,34.514755,-118.304574,73,211,1329159.441,8317.5432,11/14/2025
59,CA1909006,CA1909006,Water Service Area,WEST VALLEY COUNTY WATER DISTRICT,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0.09,High,Low,34.789311,-118.581053,270,798,10624493.41,15782.51968,11/14/2025
60,CA1910001,CA1910001,Water Service Area,CITY OF ALHAMBRA,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0,Low,Low,34.083832,-118.135772,18106,79776,28643033.26,24652.14988,11/14/2025
61,CA1910002,CA1910002,Water Service Area,AMARILLO MUTUAL WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,Medium,Low,34.06619,-118.080098,625,3134,978910.3203,4736.505273,11/14/2025
62,CA1910003,CA1910003,Water Service Area,CITY OF ARCADIA,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,None,Low,34.135272,-118.037587,15564,51361,40470404.79,47416.1346,11/14/2025
63,CA1910004,CA1910004,Water Service Area,GSWC - ARTESIA,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Low,None,33.835139,-118.078276,10788,50375,16625333.4,33016.64091,11/14/2025
64,CA1910005,CA1910005,Water Service Area,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,Low,Low,34.615865,-117.833482,3646,12568,26682439.78,36642.84734,11/14/2025
65,CA1910006,CA1910006,Water Service Area,SO. CAL. EDISON CO.-SANTA CATALINA,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,High,Low,33.382633,-118.434511,1916,3822,297313115,108707.4022,11/14/2025
67,CA1910009,CA1910009,Water Service Area,VALLEY COUNTY WATER DIST.,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0,Low,Low,34.098728,-117.958347,12441,68871,33435887.77,42870.0026,11/14/2025
68,CA1910010,CA1910010,Water Service Area,CALIFORNIA WATER SERVICE CO.-LANCASTER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,None,None,34.657145,-118.167417,675,1387,5010503.547,16737.41959,11/14/2025
69,CA1910011,CA1910011,Water Service Area,"GSWC - BELL, BELL GARDENS",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0,Medium,None,33.96406,-118.162095,7467,54877,11424848.86,28293.09857,11/14/2025
70,CA1910012,CA1910012,Water Service Area,BELLFLOWER HOME GARDEN WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.6,Medium,None,33.871832,-118.146889,342,1129,763181.7539,3514.712397,11/14/2025
71,CA1910013,CA1910013,Water Service Area,BELLFLOWER - SOMERSET MWC,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Medium,None,33.882083,-118.124521,7103,46300,13986641.92,25388.78874,11/14/2025
73,CA1910018,CA1910018,Water Service Area,BELLFLOWER MUNICIPAL WATER SYSTEM,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,None,None,33.88339,-118.145002,1828,5999,2286529.512,19644.50697,11/14/2025
74,CA1910019,CA1910019,Water Service Area,"CERRITOS - CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,None,Low,33.870706,-118.048663,15342,47475,33248417.41,44126.07502,11/14/2025
75,CA1910020,CA1910020,Water Service Area,CAL-AM WATER COMPANY - EAST PASADENA,Failing,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0.34,Low,None,34.118081,-118.058834,3019,9949,4824286.961,15857.00862,11/14/2025
76,CA1910021,CA1910021,Water Service Area,LIBERTY UTILITIES - COMPTON,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,Low,Medium,33.900477,-118.256571,6926,26371,9179072.375,46767.94201,11/14/2025
77,CA1910022,CA1910022,Water Service Area,CALIF STATE POLYTECHNICAL UNIV - POMONA,Failing,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,None,Low,34.056692,-117.821305,148,29854,2152303.996,7154.642794,11/14/2025
78,CA1910023,CA1910023,Water Service Area,AVERYDALE MWC,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0.08,High,None,34.711071,-118.073125,4,1023,3208313.695,8950.233531,11/14/2025
79,CA1910024,CA1910024,Water Service Area,GSWC - CLAREMONT,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,None,None,34.114331,-117.717362,11295,39730,33174815.74,39255.27565,11/14/2025
80,CA1910025,CA1910025,Water Service Area,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,Low,None,34.482861,-117.885553,368,994,24470681.71,25989.17687,11/14/2025
81,CA1910026,CA1910026,Water Service Area,"COMPTON-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,Medium,Low,33.896001,-118.224712,14562,74877,25362428.04,50974.9284,11/14/2025
82,CA1910027,CA1910027,Water Service Area,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0,Low,None,34.701956,-117.762862,240,612,377332408.2,100290.8751,11/14/2025
83,CA1910028,CA1910028,Water Service Area,CRESCENTA VALLEY CWD,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0,None,None,34.227434,-118.238651,8267,35841,14664265.32,44172.6022,11/14/2025
84,CA1910029,CA1910029,Water Service Area,CITY OF INDUSTRY WATERWORKS SYSTEMS,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,Low,34.036328,-117.990819,1860,6158,7958697.289,29776.82036,11/14/2025
85,CA1910030,CA1910030,Water Service Area,GSWC - CULVER CITY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,None,None,34.005967,-118.394446,9365,38213,18960806.14,33916.19638,11/14/2025
89,CA1910035,CA1910035,Water Service Area,KINNELOA IRRIGATION DIST.,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,None,High,34.177835,-118.083323,594,1960,4545765.641,13337.15799,11/14/2025
