OBJECTID,Water System ID,sabl_pwsid,Boundary Type,System Name,SAFER Status,CVA Drought Risk,Funding Since 2017,County,Regulating Agency,Water Quality Risk Level,Accessibility Risk Level,Affordability Risk Level,TMF Capacity Risk Level,latitude,longitude,Service Connections,Population,Shape__Area,Shape__Length,Last Updated
122,CA1910077,CA1910077,Water Service Area,GSWC - FLORENCE/GRAHAM,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0,Medium,None,33.969346,-118.24401,9793,63500,14108504.82,23311.03303,11/14/2025
123,CA1910079,CA1910079,Water Service Area,"LYNWOOD-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,Medium,None,33.925132,-118.202233,9322,66967,16607133.8,23648.37889,11/14/2025
124,CA1910081,CA1910081,Water Service Area,LYNWOOD PARK MUTUAL WATER CO.,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0.06,High,Low,33.914759,-118.224931,474,1500,521286.0664,3709.95924,11/14/2025
125,CA1910083,CA1910083,Water Service Area,"MANHATTAN BEACH-CITY, WATER DEPT.",Not At-Risk,Low,3500000,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,High,Low,33.889407,-118.39711,13444,32697,14846485.49,17518.07174,11/14/2025
126,CA1910084,CA1910084,Water Service Area,MAYWOOD MUTUAL WATER CO. #1,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0,Medium,Low,33.985142,-118.193246,1167,5500,1516418.422,5755.01433,11/14/2025
127,CA1910085,CA1910085,Water Service Area,MAYWOOD MUTUAL WATER CO. #2,Not At-Risk,Low,2709645,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,Medium,None,33.988002,-118.187232,1907,6349,7038397.348,11811.43513,11/14/2025
128,CA1910086,CA1910086,Water Service Area,MAYWOOD MUTUAL WATER CO. #3,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,Medium,Low,33.988002,-118.18725,2023,6059,7037829.402,11809.12517,11/14/2025
130,CA1910090,CA1910090,Water Service Area,"MONROVIA-CITY, WATER DEPT.",Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,None,None,34.159483,-118.001878,9597,37931,50623041.35,41865.07301,11/14/2025
131,CA1910091,CA1910091,Water Service Area,MONTEBELLO LAND & WATER CO.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0,Medium,None,34.013971,-118.109369,3948,26554,7216763.871,13754.43004,11/14/2025
132,CA1910092,CA1910092,Water Service Area,"MONTEREY PARK-CITY, WATER DEPT.",At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,Low,None,34.050141,-118.132173,13321,62183,27447820.19,30112.63864,11/14/2025
134,CA1910098,CA1910098,Water Service Area,GSWC - NORWALK,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0,Low,None,33.921338,-118.086374,9408,43176,16319906.66,38224.42066,11/14/2025
135,CA1910099,CA1910099,Water Service Area,PARADISE RANCH MHP,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.28,High,Medium,34.574874,-118.69102,95,360,134613.4063,1523.733738,11/14/2025
136,CA1910101,CA1910101,Water Service Area,ORCHARD DALE WATER DISTRICT,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,Low,Low,33.93342,-118.024685,4346,25000,7360366.809,17723.7177,11/14/2025
138,CA1910103,CA1910103,Water Service Area,PALM RANCH IRRIGATION DIST.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,None,Low,34.642947,-118.218473,1718,5507,6762997.332,18191.41578,11/14/2025
139,CA1910104,CA1910104,Water Service Area,CALIFORNIA WATER SERVICE CO. - PALOS VER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,None,None,33.76552,-118.366177,24493,71452,97729427.79,53723.77434,11/14/2025
140,CA1910105,CA1910105,Water Service Area,"PARAMOUNT - CITY, WATER DEPT.",At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,Medium,Medium,33.896104,-118.166157,7564,55200,18546832.11,23239.53679,11/14/2025
141,CA1910108,CA1910108,Water Service Area,CITY OF BELL GARDENS,Potentially At-Risk,Medium,1700000,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0,Medium,Medium,33.969607,-118.143143,1642,11437,2907118.105,11819.77243,11/14/2025
