x,y,value
-13164274.1569,4053475.075,36038
-13158844.1569,4055875.075,65535
-13161274.1569,4054825.075,36047
-13156864.1569,4060405.075,65535
-13161364.1569,4054135.075,36026
-13157434.1569,4062565.075,65535
-13156834.1569,4048525.075,65535
-13158304.1569,4052575.075,154
-13156984.1569,4056055.075,65535
-13166734.1569,4062445.075,65535
-13168744.1569,4056715.075,65535
-13161544.1569,4049995.075,154
-13162504.1569,4061395.075,65535
-13158244.1569,4063165.075,65535
-13169914.1569,4060645.075,65535
-13164604.1569,4062085.075,154
-13168444.1569,4060945.075,65535
-13160404.1569,4052635.075,154
-13167064.1569,4063525.075,65535
-13157224.1569,4050205.075,35989
-13168204.1569,4053475.075,65535
-13157254.1569,4049575.075,35989
-13164454.1569,4051045.075,154
-13167034.1569,4052125.075,154
-13161664.1569,4052545.075,36026
-13156894.1569,4051405.075,154
-13161844.1569,4057795.075,65535
-13157674.1569,4063945.075,65535
-13168534.1569,4063405.075,65535
-13157584.1569,4060705.075,65535
-13168534.1569,4045675.075,65535
-13156204.1569,4056595.075,65535
-13164304.1569,4062265.075,37682
